,t_dat,week
0,2018-09-20,0
48399,2018-09-21,0
95942,2018-09-22,0
113577,2018-09-23,0
165807,2018-09-24,1
211791,2018-09-25,1
255648,2018-09-26,1
303872,2018-09-27,1
348133,2018-09-28,1
415033,2018-09-29,1
556733,2018-09-30,1
594776,2018-10-01,2
633453,2018-10-02,2
673385,2018-10-03,2
711772,2018-10-04,2
749875,2018-10-05,2
783360,2018-10-06,2
820372,2018-10-07,2
853019,2018-10-08,3
881260,2018-10-09,3
919841,2018-10-10,3
983591,2018-10-11,3
1042393,2018-10-12,3
1095923,2018-10-13,3
1148931,2018-10-14,3
1185357,2018-10-15,4
1218981,2018-10-16,4
1267462,2018-10-17,4
1326693,2018-10-18,4
1373279,2018-10-19,4
1412312,2018-10-20,4
1452829,2018-10-21,4
1490266,2018-10-22,5
1533812,2018-10-23,5
1583552,2018-10-24,5
1648051,2018-10-25,5
1702538,2018-10-26,5
1757928,2018-10-27,5
1808577,2018-10-28,5
1864848,2018-10-29,6
1910800,2018-10-30,6
1953192,2018-10-31,6
1991816,2018-11-01,6
2032935,2018-11-02,6
2069038,2018-11-03,6
2108937,2018-11-04,6
2141646,2018-11-05,7
2171992,2018-11-06,7
2205790,2018-11-07,7
2241089,2018-11-08,7
2273091,2018-11-09,7
2308350,2018-11-10,7
2342948,2018-11-11,7
2387847,2018-11-12,8
2413624,2018-11-13,8
2442364,2018-11-14,8
2477472,2018-11-15,8
2516091,2018-11-16,8
2554452,2018-11-17,8
2593269,2018-11-18,8
2629140,2018-11-19,9
2662124,2018-11-20,9
2702578,2018-11-21,9
2745710,2018-11-22,9
2801884,2018-11-23,9
2943902,2018-11-24,9
3024137,2018-11-25,9
3083459,2018-11-26,10
3140372,2018-11-27,10
3170499,2018-11-28,10
3199775,2018-11-29,10
3231871,2018-11-30,10
3262435,2018-12-01,10
3296536,2018-12-02,10
3323115,2018-12-03,11
3350270,2018-12-04,11
3382104,2018-12-05,11
3417797,2018-12-06,11
3455081,2018-12-07,11
3488397,2018-12-08,11
3525817,2018-12-09,11
3560439,2018-12-10,12
3590870,2018-12-11,12
3621921,2018-12-12,12
3661357,2018-12-13,12
3694502,2018-12-14,12
3725703,2018-12-15,12
3761961,2018-12-16,12
3794335,2018-12-17,13
3829282,2018-12-18,13
3868529,2018-12-19,13
3915148,2018-12-20,13
3976170,2018-12-21,13
4032430,2018-12-22,13
4091053,2018-12-23,13
4134208,2018-12-24,14
4172570,2018-12-25,14
4187369,2018-12-26,14
4212358,2018-12-27,14
4265334,2018-12-28,14
4311466,2018-12-29,14
4353868,2018-12-30,14
4387359,2018-12-31,15
4411262,2019-01-01,15
4429407,2019-01-02,15
4473659,2019-01-03,15
4521403,2019-01-04,15
4564948,2019-01-05,15
4609484,2019-01-06,15
4647369,2019-01-07,16
4681853,2019-01-08,16
4731081,2019-01-09,16
4784390,2019-01-10,16
4837570,2019-01-11,16
4880226,2019-01-12,16
4925051,2019-01-13,16
4964663,2019-01-14,17
5000378,2019-01-15,17
5035415,2019-01-16,17
5082377,2019-01-17,17
5118390,2019-01-18,17
5154131,2019-01-19,17
5192851,2019-01-20,17
5227207,2019-01-21,18
5261760,2019-01-22,18
5298638,2019-01-23,18
5338758,2019-01-24,18
5381078,2019-01-25,18
5427903,2019-01-26,18
5476061,2019-01-27,18
5516666,2019-01-28,19
5552371,2019-01-29,19
5597361,2019-01-30,19
5636387,2019-01-31,19
5674733,2019-02-01,19
5716317,2019-02-02,19
5760218,2019-02-03,19
5805477,2019-02-04,20
5839108,2019-02-05,20
5874851,2019-02-06,20
5912191,2019-02-07,20
5951614,2019-02-08,20
5988346,2019-02-09,20
6029566,2019-02-10,20
6066533,2019-02-11,21
6099157,2019-02-12,21
6133786,2019-02-13,21
6167227,2019-02-14,21
6200934,2019-02-15,21
6238769,2019-02-16,21
6281781,2019-02-17,21
6315486,2019-02-18,22
6347247,2019-02-19,22
6381008,2019-02-20,22
6424696,2019-02-21,22
6483424,2019-02-22,22
6547450,2019-02-23,22
6623118,2019-02-24,22
6657736,2019-02-25,23
6697406,2019-02-26,23
6740485,2019-02-27,23
6785991,2019-02-28,23
6827145,2019-03-01,23
6869290,2019-03-02,23
6910038,2019-03-03,23
6945192,2019-03-04,24
6975500,2019-03-05,24
7010152,2019-03-06,24
7059732,2019-03-07,24
7104307,2019-03-08,24
7144098,2019-03-09,24
7184848,2019-03-10,24
7224545,2019-03-11,25
7260152,2019-03-12,25
7297640,2019-03-13,25
7342870,2019-03-14,25
7381925,2019-03-15,25
7419207,2019-03-16,25
7471044,2019-03-17,25
7510550,2019-03-18,26
7541624,2019-03-19,26
7577180,2019-03-20,26
7618685,2019-03-21,26
7660463,2019-03-22,26
7704299,2019-03-23,26
7748582,2019-03-24,26
7789370,2019-03-25,27
7826807,2019-03-26,27
7873980,2019-03-27,27
7923119,2019-03-28,27
7970193,2019-03-29,27
8017732,2019-03-30,27
8067292,2019-03-31,27
8113895,2019-04-01,28
8157876,2019-04-02,28
8200227,2019-04-03,28
8245163,2019-04-04,28
8287813,2019-04-05,28
8328033,2019-04-06,28
8447634,2019-04-07,28
8488507,2019-04-08,29
8522926,2019-04-09,29
8562868,2019-04-10,29
8606576,2019-04-11,29
8648271,2019-04-12,29
8690194,2019-04-13,29
8735046,2019-04-14,29
8777368,2019-04-15,30
8819081,2019-04-16,30
8864011,2019-04-17,30
8909202,2019-04-18,30
8956795,2019-04-19,30
9009983,2019-04-20,30
9065541,2019-04-21,30
9098157,2019-04-22,31
9143394,2019-04-23,31
9205254,2019-04-24,31
9285965,2019-04-25,31
9349589,2019-04-26,31
9404324,2019-04-27,31
9433726,2019-04-28,31
9478633,2019-04-29,32
9526823,2019-04-30,32
9590349,2019-05-01,32
9663224,2019-05-02,32
9732063,2019-05-03,32
9787836,2019-05-04,32
9840172,2019-05-05,32
9882128,2019-05-06,33
9921401,2019-05-07,33
9965196,2019-05-08,33
10009405,2019-05-09,33
10048098,2019-05-10,33
10089683,2019-05-11,33
10132073,2019-05-12,33
10165313,2019-05-13,34
10200821,2019-05-14,34
10241921,2019-05-15,34
10282616,2019-05-16,34
10379936,2019-05-17,34
10421248,2019-05-18,34
10468946,2019-05-19,34
10506229,2019-05-20,35
10549235,2019-05-21,35
10592911,2019-05-22,35
10644037,2019-05-23,35
10696810,2019-05-24,35
10754876,2019-05-25,35
10811662,2019-05-26,35
10863575,2019-05-27,36
10915251,2019-05-28,36
10964819,2019-05-29,36
11032967,2019-05-30,36
11080571,2019-05-31,36
11150668,2019-06-01,36
11213287,2019-06-02,36
11271376,2019-06-03,37
11324052,2019-06-04,37
11376029,2019-06-05,37
11429427,2019-06-06,37
11481380,2019-06-07,37
11530285,2019-06-08,37
11576669,2019-06-09,37
11606467,2019-06-10,38
11646028,2019-06-11,38
11689365,2019-06-12,38
11725953,2019-06-13,38
11803965,2019-06-14,38
11852520,2019-06-15,38
11899225,2019-06-16,38
11933804,2019-06-17,39
11983871,2019-06-18,39
12044464,2019-06-19,39
12148516,2019-06-20,39
12241294,2019-06-21,39
12325430,2019-06-22,39
12413232,2019-06-23,39
12493880,2019-06-24,40
12588990,2019-06-25,40
12680355,2019-06-26,40
12776692,2019-06-27,40
12859018,2019-06-28,40
12934016,2019-06-29,40
12997208,2019-06-30,40
13056870,2019-07-01,41
13129245,2019-07-02,41
13199301,2019-07-03,41
13270556,2019-07-04,41
13329240,2019-07-05,41
13385367,2019-07-06,41
13441529,2019-07-07,41
13486396,2019-07-08,42
13538284,2019-07-09,42
13592508,2019-07-10,42
13655911,2019-07-11,42
13714078,2019-07-12,42
13763182,2019-07-13,42
13815654,2019-07-14,42
13861033,2019-07-15,43
13914094,2019-07-16,43
13965683,2019-07-17,43
14026324,2019-07-18,43
14084146,2019-07-19,43
14136368,2019-07-20,43
14184240,2019-07-21,43
14232110,2019-07-22,44
14291328,2019-07-23,44
14354895,2019-07-24,44
14479578,2019-07-25,44
14543892,2019-07-26,44
14600963,2019-07-27,44
14655987,2019-07-28,44
14703976,2019-07-29,45
14758223,2019-07-30,45
14809025,2019-07-31,45
14864364,2019-08-01,45
14916735,2019-08-02,45
14958173,2019-08-03,45
14998726,2019-08-04,45
15033360,2019-08-05,46
15077608,2019-08-06,46
15125700,2019-08-07,46
15172469,2019-08-08,46
15218336,2019-08-09,46
15257897,2019-08-10,46
15299220,2019-08-11,46
15332152,2019-08-12,47
15371841,2019-08-13,47
15417196,2019-08-14,47
15470470,2019-08-15,47
15522413,2019-08-16,47
15568279,2019-08-17,47
15611851,2019-08-18,47
15657180,2019-08-19,48
15696751,2019-08-20,48
15738102,2019-08-21,48
15780158,2019-08-22,48
15820348,2019-08-23,48
15855974,2019-08-24,48
15888555,2019-08-25,48
15916868,2019-08-26,49
15948710,2019-08-27,49
15980464,2019-08-28,49
16015348,2019-08-29,49
16053350,2019-08-30,49
16088031,2019-08-31,49
16117894,2019-09-01,49
16151122,2019-09-02,50
16184200,2019-09-03,50
16218181,2019-09-04,50
16252711,2019-09-05,50
16295911,2019-09-06,50
16334673,2019-09-07,50
16374153,2019-09-08,50
16411205,2019-09-09,51
16444582,2019-09-10,51
16482301,2019-09-11,51
16518397,2019-09-12,51
16553814,2019-09-13,51
16590575,2019-09-14,51
16626511,2019-09-15,51
16657623,2019-09-16,52
16691339,2019-09-17,52
16728347,2019-09-18,52
16767410,2019-09-19,52
16803901,2019-09-20,52
16835409,2019-09-21,52
16855951,2019-09-22,52
16889901,2019-09-23,53
16923977,2019-09-24,53
16960679,2019-09-25,53
17001935,2019-09-26,53
17039063,2019-09-27,53
17074660,2019-09-28,53
17273282,2019-09-29,53
17313325,2019-09-30,54
17345072,2019-10-01,54
17385484,2019-10-02,54
17448936,2019-10-03,54
17499711,2019-10-04,54
17543269,2019-10-05,54
17586656,2019-10-06,54
17629046,2019-10-07,55
17668137,2019-10-08,55
17705977,2019-10-09,55
17750453,2019-10-10,55
17788574,2019-10-11,55
17821440,2019-10-12,55
17858394,2019-10-13,55
17891752,2019-10-14,56
17923697,2019-10-15,56
17958107,2019-10-16,56
17995629,2019-10-17,56
18027430,2019-10-18,56
18056619,2019-10-19,56
18089207,2019-10-20,56
18117196,2019-10-21,57
18148893,2019-10-22,57
18184186,2019-10-23,57
18221194,2019-10-24,57
18258869,2019-10-25,57
18296130,2019-10-26,57
18330975,2019-10-27,57
18364374,2019-10-28,58
18394065,2019-10-29,58
18424300,2019-10-30,58
18458711,2019-10-31,58
18491844,2019-11-01,58
18524362,2019-11-02,58
18559661,2019-11-03,58
18644067,2019-11-04,59
18672105,2019-11-05,59
18700441,2019-11-06,59
18730135,2019-11-07,59
18758356,2019-11-08,59
18789116,2019-11-09,59
18820247,2019-11-10,59
18845709,2019-11-11,60
18886758,2019-11-12,60
18911959,2019-11-13,60
18939628,2019-11-14,60
18967884,2019-11-15,60
18996250,2019-11-16,60
19027547,2019-11-17,60
19053514,2019-11-18,61
19077503,2019-11-19,61
19103334,2019-11-20,61
19132347,2019-11-21,61
19160879,2019-11-22,61
19191040,2019-11-23,61
19222459,2019-11-24,61
19248416,2019-11-25,62
19286576,2019-11-26,62
19323736,2019-11-27,62
19357364,2019-11-28,62
19463621,2019-11-29,62
19624496,2019-11-30,62
19689877,2019-12-01,62
19758345,2019-12-02,63
19819188,2019-12-03,63
19842139,2019-12-04,63
19867244,2019-12-05,63
19889701,2019-12-06,63
19914133,2019-12-07,63
19942321,2019-12-08,63
19965666,2019-12-09,64
19990646,2019-12-10,64
20018955,2019-12-11,64
20050406,2019-12-12,64
20081899,2019-12-13,64
20110823,2019-12-14,64
20143152,2019-12-15,64
20171899,2019-12-16,65
20201940,2019-12-17,65
20235871,2019-12-18,65
20301941,2019-12-19,65
20355271,2019-12-20,65
20407725,2019-12-21,65
20463912,2019-12-22,65
20510643,2019-12-23,66
20561883,2019-12-24,66
20599810,2019-12-25,66
20613447,2019-12-26,66
20633775,2019-12-27,66
20674453,2019-12-28,66
20713966,2019-12-29,66
20748884,2019-12-30,67
20783799,2019-12-31,67
20808192,2020-01-01,67
20820952,2020-01-02,67
20865816,2020-01-03,67
20912006,2020-01-04,67
20956513,2020-01-05,67
20991326,2020-01-06,68
21020756,2020-01-07,68
21050007,2020-01-08,68
21088707,2020-01-09,68
21125453,2020-01-10,68
21160043,2020-01-11,68
21196144,2020-01-12,68
21231043,2020-01-13,69
21262376,2020-01-14,69
21294479,2020-01-15,69
21327451,2020-01-16,69
21361278,2020-01-17,69
21392514,2020-01-18,69
21426539,2020-01-19,69
21456326,2020-01-20,70
21485433,2020-01-21,70
21511065,2020-01-22,70
21545140,2020-01-23,70
21581397,2020-01-24,70
21620317,2020-01-25,70
21663694,2020-01-26,70
21707280,2020-01-27,71
21742707,2020-01-28,71
21776396,2020-01-29,71
21813229,2020-01-30,71
21849287,2020-01-31,71
21884546,2020-02-01,71
21922563,2020-02-02,71
21953950,2020-02-03,72
21985795,2020-02-04,72
22016709,2020-02-05,72
22052739,2020-02-06,72
22093797,2020-02-07,72
22131941,2020-02-08,72
22171229,2020-02-09,72
22205017,2020-02-10,73
22235277,2020-02-11,73
22266865,2020-02-12,73
22296408,2020-02-13,73
22331565,2020-02-14,73
22363723,2020-02-15,73
22401293,2020-02-16,73
22434107,2020-02-17,74
22466522,2020-02-18,74
22499591,2020-02-19,74
22526534,2020-02-20,74
22565735,2020-02-21,74
22600455,2020-02-22,74
22635017,2020-02-23,74
22664974,2020-02-24,75
22695839,2020-02-25,75
22730953,2020-02-26,75
22769812,2020-02-27,75
22810907,2020-02-28,75
22846729,2020-02-29,75
22886405,2020-03-01,75
22923487,2020-03-02,76
22954428,2020-03-03,76
22991230,2020-03-04,76
23047859,2020-03-05,76
23093902,2020-03-06,76
23134041,2020-03-07,76
23178835,2020-03-08,76
23218610,2020-03-09,77
23256126,2020-03-10,77
23291021,2020-03-11,77
23332524,2020-03-12,77
23365272,2020-03-13,77
23394431,2020-03-14,77
23428111,2020-03-15,77
23453712,2020-03-16,78
23473097,2020-03-17,78
23496889,2020-03-18,78
23523980,2020-03-19,78
23548790,2020-03-20,78
23574620,2020-03-21,78
23602412,2020-03-22,78
23637368,2020-03-23,79
23663275,2020-03-24,79
23695707,2020-03-25,79
23730611,2020-03-26,79
23765875,2020-03-27,79
23797654,2020-03-28,79
23828768,2020-03-29,79
23863211,2020-03-30,80
23899859,2020-03-31,80
23934157,2020-04-01,80
23973675,2020-04-02,80
24012715,2020-04-03,80
24068681,2020-04-04,80
24149181,2020-04-05,80
24185208,2020-04-06,81
24227170,2020-04-07,81
24271440,2020-04-08,81
24324405,2020-04-09,81
24375396,2020-04-10,81
24417285,2020-04-11,81
24580084,2020-04-12,81
24611502,2020-04-13,82
24644246,2020-04-14,82
24673318,2020-04-15,82
24706684,2020-04-16,82
24741043,2020-04-17,82
24773518,2020-04-18,82
24805583,2020-04-19,82
24835145,2020-04-20,83
24871889,2020-04-21,83
24902751,2020-04-22,83
24940644,2020-04-23,83
24985082,2020-04-24,83
25026519,2020-04-25,83
25077915,2020-04-26,83
25137153,2020-04-27,84
25165003,2020-04-28,84
25200647,2020-04-29,84
25237037,2020-04-30,84
25275039,2020-05-01,84
25307221,2020-05-02,84
25335043,2020-05-03,84
25360130,2020-05-04,85
25388256,2020-05-05,85
25414130,2020-05-06,85
25448259,2020-05-07,85
25486123,2020-05-08,85
25529194,2020-05-09,85
25572212,2020-05-10,85
25598251,2020-05-11,86
25636046,2020-05-12,86
25673716,2020-05-13,86
25714837,2020-05-14,86
25760244,2020-05-15,86
25802695,2020-05-16,86
25844416,2020-05-17,86
25878806,2020-05-18,87
25923788,2020-05-19,87
25973740,2020-05-20,87
26032630,2020-05-21,87
26080902,2020-05-22,87
26148691,2020-05-23,87
26211657,2020-05-24,87
26253442,2020-05-25,88
26304917,2020-05-26,88
26361512,2020-05-27,88
26423951,2020-05-28,88
26484696,2020-05-29,88
26544159,2020-05-30,88
26605020,2020-05-31,88
26636854,2020-06-01,89
26679938,2020-06-02,89
26724604,2020-06-03,89
26777791,2020-06-04,89
26828261,2020-06-05,89
26872731,2020-06-06,89
26921380,2020-06-07,89
26958113,2020-06-08,90
26996230,2020-06-09,90
27035600,2020-06-10,90
27078185,2020-06-11,90
27122229,2020-06-12,90
27166033,2020-06-13,90
27212121,2020-06-14,90
27244208,2020-06-15,91
27284635,2020-06-16,91
27334490,2020-06-17,91
27445471,2020-06-18,91
27530034,2020-06-19,91
27607275,2020-06-20,91
27675063,2020-06-21,91
27731532,2020-06-22,92
27806866,2020-06-23,92
27883933,2020-06-24,92
27982723,2020-06-25,92
28071407,2020-06-26,92
28148859,2020-06-27,92
28223530,2020-06-28,92
28287015,2020-06-29,93
28340208,2020-06-30,93
28401361,2020-07-01,93
28460804,2020-07-02,93
28516688,2020-07-03,93
28567900,2020-07-04,93
28614308,2020-07-05,93
28652709,2020-07-06,94
28693642,2020-07-07,94
28738780,2020-07-08,94
28788619,2020-07-09,94
28831635,2020-07-10,94
28875557,2020-07-11,94
28915849,2020-07-12,94
28945643,2020-07-13,95
28986738,2020-07-14,95
29025452,2020-07-15,95
29076839,2020-07-16,95
29122304,2020-07-17,95
29164970,2020-07-18,95
29202636,2020-07-19,95
29231437,2020-07-20,96
29272094,2020-07-21,96
29314980,2020-07-22,96
29361348,2020-07-23,96
29406324,2020-07-24,96
29452820,2020-07-25,96
29493878,2020-07-26,96
29527566,2020-07-27,97
29567762,2020-07-28,97
29614449,2020-07-29,97
29662447,2020-07-30,97
29714159,2020-07-31,97
29752863,2020-08-01,97
29794821,2020-08-02,97
29833627,2020-08-03,98
29879043,2020-08-04,98
29933918,2020-08-05,98
29987125,2020-08-06,98
30039555,2020-08-07,98
30082748,2020-08-08,98
30116433,2020-08-09,98
30143457,2020-08-10,99
30180366,2020-08-11,99
30223079,2020-08-12,99
30294151,2020-08-13,99
30333500,2020-08-14,99
30368805,2020-08-15,99
30398232,2020-08-16,99
30420845,2020-08-17,100
30453377,2020-08-18,100
30488290,2020-08-19,100
30525574,2020-08-20,100
30563500,2020-08-21,100
30597413,2020-08-22,100
30632391,2020-08-23,100
30665422,2020-08-24,101
30703094,2020-08-25,101
30744934,2020-08-26,101
30790961,2020-08-27,101
30835364,2020-08-28,101
30874910,2020-08-29,101
30916085,2020-08-30,101
30951947,2020-08-31,102
30990055,2020-09-01,102
31028115,2020-09-02,102
31060837,2020-09-03,102
31101278,2020-09-04,102
31140481,2020-09-05,102
31183483,2020-09-06,102
31218444,2020-09-07,103
31256357,2020-09-08,103
31292772,2020-09-09,103
31334398,2020-09-10,103
31374659,2020-09-11,103
31412220,2020-09-12,103
31452491,2020-09-13,103
31492019,2020-09-14,104
31521960,2020-09-15,104
31548013,2020-09-16,104
31575041,2020-09-17,104
31615759,2020-09-18,104
31655043,2020-09-19,104
31691839,2020-09-20,104
31723328,2020-09-21,105
31755458,2020-09-22,105
